2025-08-24 13:42:55,450 [INFO] ▶ timesheet_summary started
2025-08-24 13:42:55,452 [INFO] Log file: C:\Users\palyi\OneDrive\Desktop\bullshitBundle\fater_szarja\logs\timesheet_summary_januar_20250824_134255.log
2025-08-24 13:42:55,452 [INFO] 🔧 Feldolgozás: TS GP.xlsx
2025-08-24 13:42:55,800 [INFO]   ➔ Sheet: januar
2025-08-24 13:42:55,842 [INFO]     ➔ Hiányzó adat a januar sheet 105. sorában, kihagyva
2025-08-24 13:42:55,842 [INFO]     ➔ Hiányzó adat a januar sheet 106. sorában, kihagyva
2025-08-24 13:42:55,842 [INFO]     ➔ Hiányzó adat a januar sheet 107. sorában, kihagyva
2025-08-24 13:42:55,842 [INFO]     ➔ Hiányzó adat a januar sheet 108. sorában, kihagyva
2025-08-24 13:42:55,842 [INFO]     ➔ Hiányzó adat a januar sheet 109. sorában, kihagyva
2025-08-24 13:42:55,842 [INFO]     ➔ Hiányzó adat a januar sheet 110. sorában, kihagyva
2025-08-24 13:42:55,842 [INFO]     ➔ Hiányzó adat a januar sheet 111. sorában, kihagyva
2025-08-24 13:42:55,842 [INFO]     ➔ Hiányzó adat a januar sheet 112. sorában, kihagyva
2025-08-24 13:42:55,842 [INFO]     ➔ Hiányzó adat a januar sheet 113. sorában, kihagyva
2025-08-24 13:42:55,842 [INFO]     ➔ Hiányzó adat a januar sheet 114. sorában, kihagyva
2025-08-24 13:42:55,842 [INFO]     ➔ Hiányzó adat a januar sheet 115. sorában, kihagyva
2025-08-24 13:42:55,842 [INFO]     ➔ Hiányzó adat a januar sheet 116. sorában, kihagyva
2025-08-24 13:42:55,843 [INFO]     ➔ Hiányzó adat a januar sheet 117. sorában, kihagyva
2025-08-24 13:42:55,843 [INFO]     ➔ Hiányzó adat a januar sheet 118. sorában, kihagyva
2025-08-24 13:42:55,843 [INFO]     ➔ Hiányzó adat a januar sheet 119. sorában, kihagyva
2025-08-24 13:42:55,843 [INFO]     ➔ Hiányzó adat a januar sheet 120. sorában, kihagyva
2025-08-24 13:42:55,843 [INFO]     ➔ Hiányzó adat a januar sheet 121. sorában, kihagyva
2025-08-24 13:42:55,843 [INFO]     ➔ Hiányzó adat a januar sheet 122. sorában, kihagyva
2025-08-24 13:42:55,843 [INFO]     ➔ Hiányzó adat a januar sheet 123. sorában, kihagyva
2025-08-24 13:42:55,843 [INFO]     ➔ Hiányzó adat a januar sheet 124. sorában, kihagyva
2025-08-24 13:42:55,843 [INFO]     ➔ Hiányzó adat a januar sheet 125. sorában, kihagyva
2025-08-24 13:42:55,843 [INFO]     ➔ Hiányzó adat a januar sheet 126. sorában, kihagyva
2025-08-24 13:42:55,843 [INFO]     ➔ Hiányzó adat a januar sheet 127. sorában, kihagyva
2025-08-24 13:42:55,843 [INFO]     ➔ Hiányzó adat a januar sheet 128. sorában, kihagyva
2025-08-24 13:42:55,843 [INFO]     ➔ Hiányzó adat a januar sheet 129. sorában, kihagyva
2025-08-24 13:42:55,843 [INFO]     ➔ Hiányzó adat a januar sheet 130. sorában, kihagyva
2025-08-24 13:42:55,843 [INFO]     ➔ Hiányzó adat a januar sheet 131. sorában, kihagyva
2025-08-24 13:42:55,860 [INFO] ✅ Összesítés elkészült, elmentve ide: timesheet_summary_januar_2025_08_24.xlsx
2025-08-24 13:42:55,860 [INFO] 📊 Run summary:
2025-08-24 13:42:55,860 [INFO]    ✔ 1 files processed
2025-08-24 13:42:55,860 [INFO]    ⚠ 0 files skipped (no target month)
2025-08-24 13:42:55,860 [INFO]    📄 1 sheets processed
2025-08-24 13:42:55,860 [INFO]    💤 13 sheets skipped
2025-08-24 13:42:55,860 [INFO]    ❌ 0 errors
2025-08-24 13:42:55,860 [INFO]    ⏱ Duration: 0.4s
2025-08-24 13:42:55,860 [INFO] ✅ timesheet_summary finished
